menu_type,Item Name,Net Sales
Rotating: Mochi Donut Flavor,MD: Mandarin Tanghulu,1000.61
Rotating: Mochi Donut Flavor,MD: Sesame Honey Butter,988.38
Rotating: Mochi Donut Flavor,MD: Biscoff Chai,982.45
Rotating: Mochi Donut Flavor,MD: Cherry Cream,981.91
Rotating: Mochi Donut Flavor,MD: White Chocolate Raspberry Rose Pistachio,981.38
Rotating: Mochi Donut Flavor,MD: Blueberry Rosemary,964.78
Rotating: Mochi Donut Flavor,MD: Peppermint White Mocha,916.12
Rotating: Mochi Donut Flavor,MD: Pandan,900.03
Rotating: Mochi Donut Flavor,Matcha Strawberry Cookies,895.51
Rotating: Mochi Donut Flavor,MD: Coconut Calamansi,894.51
Rotating: Mochi Donut Flavor,MD: Furikake Chef Mix,860.84
Rotating: Mochi Donut Flavor,MD: Kabocha Spice,852.94
Rotating: Mochi Donut Flavor,MD: Strawberry Balsamic,842.29
Rotating: Mochi Donut Flavor,MD: Eggnog,813.92
Rotating: Mochi Donut Flavor,MD: Molé,795.8
Rotating: Mochi Donut Flavor,MD: Cherry Lime,771.4
Rotating: Mochi Donut Flavor,MD: Maple Pumpkin Hojicha,737.29
Rotating: Mochi Donut Flavor,BD: Jasmine Lychee,692.45
Rotating: Mochi Donut Flavor,Black Sesame Caramel,631.58
Rotating: Mochi Donut Flavor,MD: Lemon Yuzu Cloud,570.37
Rotating: Mochi Donut Flavor,MD: Blueberry Basil Lemon,551.55
Rotating: Mochi Donut Flavor,MD: Raspberry White Chocolate Pistachio,529.44
Rotating: Mochi Donut Flavor,MD: Black Sesame,411.12
Rotating: Mochi Donut Flavor,Mandarin Orange,403.5
Rotating: Mochi Donut Flavor,SS: Mango Stick Tiramisu,361.65
Rotating: Mochi Donut Flavor,Chocolate Passion fruit,327.6
Rotating: Mochi Donut Flavor,MD: Black Sesame Caramel,311.15
Rotating: Mochi Donut Flavor,Tart: Golden Kiwi,250.0
Rotating: Mochi Donut Flavor,Banana Oreo,242.73
Rotating: Mochi Donut Flavor,Pumpkin Hojicha Spice,242.21
Rotating: Mochi Donut Flavor,Raspberry Yogurt,225.05
Rotating: Mochi Donut Flavor,Spiced Apple Cider,218.75
Rotating: Mochi Donut Flavor,GFD: Matcha strawberry,158.93
Rotating: Mochi Donut Flavor,MD: Honey Gochujang,114.0
Rotating: Mochi Donut Flavor,Blueberry Scone,73.0
Rotating: Mochi Donut Flavor,Matcha Scone,68.17
Rotating: Mochi Donut Flavor,Strawberry Nesquik,33.71
Rotating: Mochi Donut Flavor,Lemon Shortbread,31.05
Rotating: Mochi Donut Flavor,hojicha mochi muffin,25.5
Rotating: Mochi Donut Flavor,MD: White Peach n Cream,21.0
Rotating: Mochi Donut Flavor,MD: Mango peach pie,19.95
Rotating: Mochi Donut Flavor,KiKi Cookie,19.5
Rotating: Mochi Donut Flavor,MD: Brown Butter Sage,3.0
Rotating: Mochi Donut Flavor,Acai Bowl,0.0
Rotating: Mochi Donut Flavor,MD: Strawberry Sumac,0.0
